LSOA code,LSOA name,LONG__y,LAT_y,LSOA IMD Score
E01009270,Birmingham 034C,-1.93488,52.5102,51.925
E01009271,Birmingham 034D,-1.94251,52.5115,43.532
E01009272,Birmingham 036B,-1.95351,52.518,47.467
E01009273,Birmingham 034E,-1.9468,52.5098,43.533
E01009274,Birmingham 036C,-1.95041,52.5086,44.249
E01009275,Birmingham 039A,-1.93991,52.506,50.934
E01009276,Birmingham 133C,-1.93736,52.531,21.644
E01009278,Birmingham 133D,-1.92549,52.5248,16.01
E01009279,Birmingham 133E,-1.93319,52.5262,20.926
E01009280,Birmingham 100A,-1.93012,52.4341,21.777
E01009281,Birmingham 099A,-1.9393,52.4315,20.044
E01009282,Birmingham 100B,-1.92251,52.4327,37.399
E01009283,Birmingham 079E,-1.91404,52.4461,19.934
E01009284,Birmingham 096A,-1.93872,52.442,21.191
E01009286,Birmingham 096C,-1.92579,52.4401,14.443
E01009288,Birmingham 100C,-1.91974,52.4434,23.574
E01009289,Birmingham 096E,-1.93365,52.4431,20.146
E01009290,Birmingham 096F,-1.93009,52.4388,14.583
E01009291,Birmingham 095D,-1.96248,52.4421,40.733
E01009292,Birmingham 099B,-1.94926,52.4423,15.243
E01009293,Birmingham 100D,-1.92154,52.4374,23.215
E01009294,Birmingham 099C,-1.95477,52.4362,32.582
E01009295,Birmingham 099D,-1.94621,52.4381,20.154
E01009296,Birmingham 100E,-1.91616,52.4387,30.163
E01009297,Birmingham 057A,-1.76668,52.4864,50.479
E01009298,Birmingham 054D,-1.78749,52.4827,52.592
E01009299,Birmingham 057B,-1.77725,52.481,48.978
E01009300,Birmingham 057C,-1.78047,52.4853,58.461
E01009301,Birmingham 057D,-1.7663,52.4798,56.072
E01009302,Birmingham 069A,-1.76086,52.4733,32.789
E01009303,Birmingham 057E,-1.76862,52.4759,46.272
E01009304,Birmingham 046A,-1.77463,52.4988,46.1
E01009305,Birmingham 045C,-1.78895,52.4982,63.723
E01009306,Birmingham 046B,-1.77841,52.4908,51.219
E01009307,Birmingham 045D,-1.78276,52.4987,54.64
E01009308,Birmingham 046C,-1.76187,52.4941,46.196
E01009309,Birmingham 045E,-1.78015,52.4954,58.067
E01009310,Birmingham 046D,-1.76682,52.4964,56.875
E01009311,Birmingham 054E,-1.7918,52.4851,55.739
E01009312,Birmingham 072A,-1.79371,52.4624,18.793
E01009313,Birmingham 076D,-1.79695,52.4598,25.006
E01009314,Birmingham 069B,-1.78019,52.462,38.883
E01009315,Birmingham 081A,-1.78499,52.4558,34.711
E01009316,Birmingham 081B,-1.79185,52.4582,29.501
E01009317,Birmingham 081C,-1.77208,52.4622,37.422
E01009318,Birmingham 081D,-1.76268,52.459,16.879
E01009319,Birmingham 081E,-1.77574,52.4545,17.89
E01009320,Birmingham 081F,-1.76512,52.4536,22.809
E01009321,Birmingham 069C,-1.76823,52.4692,65.701
E01009322,Birmingham 069D,-1.77792,52.4717,56.274
E01009323,Birmingham 069E,-1.78413,52.4636,51.695
E01009324,Birmingham 072B,-1.79033,52.4662,25.119
E01009325,Birmingham 063A,-1.83718,52.4706,49.726
E01009326,Birmingham 066D,-1.83179,52.4704,44.039
E01009327,Birmingham 139B,-1.84399,52.4725,46.341
E01009328,Birmingham 139C,-1.84625,52.4725,49.57
E01009329,Birmingham 070A,-1.85449,52.4699,50.75
E01009331,Birmingham 139D,-1.8471,52.4753,44.822
E01009332,Birmingham 139E,-1.86172,52.473,60.271
E01009333,Birmingham 139F,-1.85148,52.4759,58.664
E01009334,Birmingham 070B,-1.84925,52.4688,44.808
E01009335,Birmingham 139G,-1.84206,52.464,46.402
E01009337,Birmingham 070C,-1.84822,52.4653,46.736
E01009338,Birmingham 070D,-1.84624,52.4631,52.126
E01009339,Birmingham 140A,-1.85579,52.4583,52.522
E01009340,Birmingham 140B,-1.84674,52.4544,43.259
E01009341,Birmingham 066E,-1.82725,52.4786,50.375
E01009342,Birmingham 063D,-1.83391,52.4774,48.637
E01009343,Birmingham 063E,-1.84178,52.4764,49.111
E01009344,Birmingham 139H,-1.85492,52.4751,56.91
E01009345,Birmingham 053D,-1.93862,52.492,59.211
E01009346,Birmingham 053E,-1.94226,52.4889,41.743
E01009347,Birmingham 049D,-1.91985,52.4876,52.152
E01009348,Birmingham 047A,-1.92706,52.4913,39.455
E01009349,Birmingham 036D,-1.95643,52.5061,45.392
E01009350,Birmingham 039B,-1.93371,52.507,46.609
E01009351,Birmingham 036E,-1.95215,52.5054,45.113
E01009352,Birmingham 039C,-1.92774,52.5039,56.499
E01009353,Birmingham 039D,-1.93135,52.5045,47.667
E01009354,Birmingham 036F,-1.94508,52.5035,56.503
E01009355,Birmingham 039E,-1.92278,52.5033,61.052
E01009358,Birmingham 047B,-1.92363,52.4983,64.81
E01009359,Birmingham 047C,-1.93236,52.5005,52.146
E01009360,Birmingham 047D,-1.92957,52.4951,52.362
E01009361,Birmingham 047E,-1.94148,52.496,55.041
E01009362,Birmingham 071A,-1.88963,52.4655,61.205
E01009363,Birmingham 071B,-1.86859,52.4674,63.826
E01009364,Birmingham 071C,-1.8855,52.4689,66.314
E01009365,Birmingham 071D,-1.87752,52.4679,72.39
E01009366,Birmingham 084A,-1.89445,52.4605,54.819
E01009367,Birmingham 083A,-1.88067,52.4609,67.159
E01009368,Birmingham 077A,-1.87075,52.4615,62.676
E01009371,Birmingham 077D,-1.87182,52.4596,61.087
E01009372,Birmingham 082A,-1.86492,52.4591,49.566
E01009373,Birmingham 082B,-1.86261,52.4579,52.035
E01009374,Birmingham 084B,-1.8888,52.4603,61.941
E01009375,Birmingham 083B,-1.8795,52.4578,53.821
E01009376,Birmingham 084C,-1.88788,52.4562,59.053
E01009377,Birmingham 083C,-1.87936,52.4552,62.81
E01009378,Birmingham 135A,-1.88735,52.4707,43.802
E01009379,Birmingham 071E,-1.86479,52.4706,76.225
E01009380,Birmingham 070E,-1.85985,52.4685,53.218
E01009382,Birmingham 140C,-1.86525,52.4494,43.929
E01009383,Birmingham 083D,-1.87517,52.4508,44.1
E01009384,Birmingham 092E,-1.88598,52.4516,53.154
E01009385,Birmingham 092F,-1.88402,52.4473,37.571
E01009389,Birmingham 093B,-1.87102,52.4488,35.706
E01009390,Birmingham 093C,-1.87683,52.4466,42.532
E01009391,Birmingham 140D,-1.85804,52.4476,40.879
E01009392,Birmingham 140E,-1.86668,52.4461,36.065
E01009393,Birmingham 140F,-1.85915,52.445,38.754
E01009394,Birmingham 093D,-1.87264,52.4443,23.832
E01009395,Birmingham 097F,-1.86303,52.4417,35.655
E01009396,Birmingham 082D,-1.86849,52.4549,54.371
E01009397,Birmingham 077E,-1.87317,52.4558,57.163
E01009399,Birmingham 083E,-1.87566,52.4533,62.315
E01009400,Birmingham 031E,-1.84007,52.5091,60.058
E01009401,Birmingham 031F,-1.85345,52.5098,58.904
E01009403,Birmingham 020A,-1.85297,52.5378,41.254
E01009404,Birmingham 020B,-1.85503,52.5355,46.864
E01009405,Birmingham 020C,-1.8518,52.5302,42.995
E01009406,Birmingham 020D,-1.8577,52.5322,47.428
